ID,q_cfs_da,q_cfs_no_da
3578,5.411491272018443,5.411491274385753
3579,431.34549577914447,434.50090948463264
3580,1206.624183526606,1398.3415257319127
3581,2028.4750457828675,2527.3164258384672
3582,28.773956657550784,28.802773793902332
3583,1325.2285677256607,1241.387742425895
3584,3.396328279718405,4.140324561022024
3585,8.422107171228376,8.423464625191544
3586,37.80988090325014,37.80988090325014
3587,23.808473504413268,23.808473504413268
3588,181.66717069148478,2140.0340269887133
3589,94.980234454436,94.980234454436
3590,258.0142014710436,2195.667300764444
3591,382.5686910975548,2268.1917869509402
3592,397.67711574809414,2273.2593064550747
3593,5873.6298792067455,5476.906962132581
3594,175.71663311887568,175.7396259542033
3595,209.5480774734756,209.90024097547823
3596,356.46772935800055,358.682869008551
3597,110.23310659363739,110.45731425458966
3598,244.0439868048166,246.5304118833958
3599,101.8820556180313,102.06528573929846
3600,288.9291761567749,290.9014589093348
3601,357.761703051042,368.38117354165684
3602,892.5844535703104,921.4529044989505
3603,918.6660286959735,1017.248076640999
3604,53.08720071327687,55.65752411624021
3605,154.27537494250893,171.21276848401467
3606,174.74055097090488,179.09886269069472
3607,336.0969478483262,364.78731733638034
3608,132.85362780031213,133.34298958510593
3609,322.7682958009197,327.37824107959455
3610,343.56305497552967,365.5274051217023
3611,781.8464266807067,880.115009973247
3612,771.1328528215314,892.9600209233464
3613,1304.9702688359014,1591.509020427842
3614,1310.2196595616242,1653.0194237266137
3615,79.01552117441545,85.88626696845084
3616,160.80655842411215,178.49816223299817
3617,563.0214426486522,628.4728096377347
3618,55.91038005787345,55.910380050369675
3619,92.8091321613241,92.80913198075395
3620,100.84766211379731,100.8476595033402
3621,2692.5507706487865,3145.406183024186
3622,2749.00940967179,3331.130332958875
3623,90.32673740637209,90.32673667104181
3624,129.73438119051804,129.7343664917625
3625,198.60021950837262,198.60003260309193
3626,2778.0679908161283,3463.0798566972358
3627,3033.4034760850254,3653.718080832536
3628,3150.8549244266756,3747.592272060872
3629,113.24862312713134,114.28938081747755
3630,192.81970693143538,202.68492639444656
3631,233.50604497432906,234.96969054179957
3632,121.3353021845177,122.17805478552815
3633,193.2045403755045,202.54391989643221
3634,182.12134192234274,182.12134185602787
3635,362.72375112602276,362.7237495643683
3636,431.74852553745797,431.74850562476524
3637,160.6265635650771,160.62656284782415
3638,178.75419945126077,178.7541857865469
3639,589.0113647245012,589.0111302633325
3640,3390.594918284601,3931.645312626559
3641,3530.9193757627604,4030.422770100183
3642,3522.7566786384045,4030.413219714224
3643,1161.8169625347318,1161.8147283749488
3644,1370.2869997094235,1370.2703245521534
3645,1464.828282736493,1464.766814717629
3646,555.4092797783969,558.3006447952048
3647,765.4389652048234,665.2016482492297
3648,858.8067279272453,797.4907845499475
3649,903.0567737719174,860.6600109325987
3650,940.3294848897738,891.1642392029376
3651,50.034879076682664,50.03814062489259
3652,118.7984317494556,118.85295023960124
3653,53.08953017103296,53.09366793422219
3654,87.40059852863484,87.47094988774674
3655,163.336913131539,163.89829891990564
3656,38.284716267868205,38.286939886197764
3657,127.5443207894475,127.58267716179756
3658,224.82519993248073,225.15295239535854
3659,315.74415718637266,317.5796215648862
3660,1124.8705963726993,1035.57765996204
3661,1172.0837428333364,1068.0495947499978
3662,25.80921622028454,26.084565689548587
3663,62.88689225725301,66.02634346762623
3664,91.85822144503724,107.91582364426829
3665,1230.8342317932616,1112.940363719535
3666,1290.3995148955792,1166.3069887738934
3667,1247.0260996691666,1173.8770291125604
3668,526.0322111242151,539.4761715289688
3669,589.421106700565,638.3021791444187
3670,536.500375201257,670.2361698797401
3671,22.901417116280253,24.3703800308792
3672,100.29303005606836,113.29714822656767
3673,1626.8744694496313,1893.4465795491888
3674,1386.9310048150041,1987.2433193913373
3675,1016.1498479631216,2060.6503969091386
3676,578.4535072782245,2092.239828931457
3677,6.758024826965936,27.712581726030876
3678,13.281457415841839,83.70845569381288
3679,5010.883166724844,5359.591302723744
3680,5096.505277865381,5433.9322069663785
3681,5178.8169890564195,5505.556385382503
3682,5174.345529346912,5520.001796759611
3683,5159.62917011538,5526.740261055139
3684,5146.017400511565,5509.986309916445
3685,5317.802938802776,5507.649850482477
3686,5329.052003563516,5495.688744280891
3687,5321.217534359592,5482.8140068558705
3688,5419.244644027571,5474.410270453488
3689,5426.646989417538,5462.724897106436
3690,161.39894247728088,161.39894247728088
3691,235.6656183234334,235.6656183234334
3692,272.6829517986367,272.6829517986367
3693,304.5147284113268,304.5147284113268
3694,26.91795065161908,26.91795065161908
3695,93.2159933906012,93.2159933906012
3696,108.68602064596683,108.68602064596683
3697,10.29102190996071,10.29102190996071
3698,21.768522745752442,21.768522745752442
3700,11.702893403465811,11.702893403465811
3701,5710.254919027595,5469.336708942773
3702,5714.24453547743,5465.16376372278
3704,221.40760528609457,221.40760528609457
3705,486.8901672820262,2301.608465261869
3706,572.7792858612545,2324.34792616798
3711,6328.858274427291,7163.013055001702
